# BEGIN PLOT
Legend=1
LogY=0
LegendYPos=0.4
XLabel=$p_\perp(\mu\mu)$ [GeV]
YLabel=$\langle\mathrm{d}^2 \sum p_\perp/\mathrm{d}\eta\mathrm{d}\phi\rangle$ [GeV]
Title=$CMS, 13 TeV, pp \rightarrow Z + X \rightarrow \mu^{+}\mu^{-} + X, Towards$
DrawOnly=/CMS_2017_I1635889/d04-x01-y01 //u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01 //u/user/choij/tmp_0x7fb8f199f1c0/DY0j.yoda.gz/CMS_2017_I1635889/d04-x01-y01 //u/user/choij/tmp_0x7fb8f199f1c0/DY1j.yoda.gz/CMS_2017_I1635889/d04-x01-y01 //u/user/choij/tmp_0x7fb8f199f1c0/DY2j.yoda.gz/CMS_2017_I1635889/d04-x01-y01
LegendOnly=/CMS_2017_I1635889/d04-x01-y01 //u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01 //u/user/choij/tmp_0x7fb8f199f1c0/DY0j.yoda.gz/CMS_2017_I1635889/d04-x01-y01 //u/user/choij/tmp_0x7fb8f199f1c0/DY1j.yoda.gz/CMS_2017_I1635889/d04-x01-y01 //u/user/choij/tmp_0x7fb8f199f1c0/DY2j.yoda.gz/CMS_2017_I1635889/d04-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2017_I1635889/d04-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2017_I1635889/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2017_I1635889/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	9.890000e-01	5.727950e-02	5.727950e-02
5.000000e+00	1.000000e+01	1.050000e+00	6.272190e-02	6.272190e-02
1.000000e+01	1.500000e+01	1.110000e+00	6.705450e-02	6.705450e-02
1.500000e+01	2.000000e+01	1.170000e+00	7.461320e-02	7.461320e-02
2.000000e+01	2.500000e+01	1.210000e+00	8.244440e-02	8.244440e-02
2.500000e+01	3.000000e+01	1.240000e+00	8.191220e-02	8.191220e-02
3.000000e+01	3.500000e+01	1.300000e+00	9.011860e-02	9.011860e-02
3.500000e+01	4.000000e+01	1.340000e+00	9.782240e-02	9.782240e-02
4.000000e+01	4.500000e+01	1.370000e+00	9.625370e-02	9.625370e-02
4.500000e+01	5.000000e+01	1.380000e+00	9.442740e-02	9.442740e-02
5.000000e+01	5.500000e+01	1.430000e+00	9.653210e-02	9.653210e-02
5.500000e+01	6.000000e+01	1.480000e+00	1.129740e-01	1.129740e-01
6.000000e+01	6.500000e+01	1.490000e+00	1.115790e-01	1.115790e-01
6.500000e+01	7.000000e+01	1.510000e+00	1.026180e-01	1.026180e-01
7.000000e+01	8.000000e+01	1.520000e+00	1.059780e-01	1.059780e-01
8.000000e+01	9.000000e+01	1.560000e+00	1.083690e-01	1.083690e-01
9.000000e+01	1.000000e+02	1.590000e+00	1.114090e-01	1.114090e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_x2xg_murfac=2.0]
Title=DYincl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.073395e+00	1.223322e-02	1.223322e-02
5.000000e+00	1.000000e+01	1.108271e+00	1.336503e-02	1.336503e-02
1.000000e+01	1.500000e+01	1.149017e+00	1.797728e-02	1.797728e-02
1.500000e+01	2.000000e+01	1.199404e+00	1.993440e-02	1.993440e-02
2.000000e+01	2.500000e+01	1.322000e+00	3.581422e-02	3.581422e-02
2.500000e+01	3.000000e+01	1.214400e+00	2.723346e-02	2.723346e-02
3.000000e+01	3.500000e+01	1.337086e+00	4.445282e-02	4.445282e-02
3.500000e+01	4.000000e+01	1.328079e+00	5.263148e-02	5.263148e-02
4.000000e+01	4.500000e+01	1.469843e+00	7.427585e-02	7.427585e-02
4.500000e+01	5.000000e+01	1.576954e+00	7.841376e-02	7.841376e-02
5.000000e+01	5.500000e+01	1.492774e+00	1.079733e-01	1.079733e-01
5.500000e+01	6.000000e+01	1.548930e+00	9.009444e-02	9.009444e-02
6.000000e+01	6.500000e+01	1.406131e+00	8.179442e-02	8.179442e-02
6.500000e+01	7.000000e+01	1.552729e+00	1.353861e-01	1.353861e-01
7.000000e+01	8.000000e+01	1.384466e+00	1.029424e-01	1.029424e-01
8.000000e+01	9.000000e+01	1.452556e+00	9.984590e-02	9.984590e-02
9.000000e+01	1.000000e+02	1.709233e+00	1.936187e-01	1.936187e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_x2xg_murfac=0.5]
Title=DYincl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.073703e+00	1.223792e-02	1.223792e-02
5.000000e+00	1.000000e+01	1.109250e+00	1.339919e-02	1.339919e-02
1.000000e+01	1.500000e+01	1.150781e+00	1.798736e-02	1.798736e-02
1.500000e+01	2.000000e+01	1.202397e+00	2.003031e-02	2.003031e-02
2.000000e+01	2.500000e+01	1.323528e+00	3.577180e-02	3.577180e-02
2.500000e+01	3.000000e+01	1.212833e+00	2.714142e-02	2.714142e-02
3.000000e+01	3.500000e+01	1.337482e+00	4.439093e-02	4.439093e-02
3.500000e+01	4.000000e+01	1.328197e+00	5.243690e-02	5.243690e-02
4.000000e+01	4.500000e+01	1.468018e+00	7.408333e-02	7.408333e-02
4.500000e+01	5.000000e+01	1.575959e+00	7.916948e-02	7.916948e-02
5.000000e+01	5.500000e+01	1.487361e+00	1.066047e-01	1.066047e-01
5.500000e+01	6.000000e+01	1.548828e+00	8.991226e-02	8.991226e-02
6.000000e+01	6.500000e+01	1.405114e+00	8.052995e-02	8.052995e-02
6.500000e+01	7.000000e+01	1.555823e+00	1.350022e-01	1.350022e-01
7.000000e+01	8.000000e+01	1.386898e+00	1.029954e-01	1.029954e-01
8.000000e+01	9.000000e+01	1.452898e+00	9.914343e-02	9.914343e-02
9.000000e+01	1.000000e+02	1.709860e+00	1.939868e-01	1.939868e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_x2xg_cns=_2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_x2xg_cns=_2.0]
Title=DYincl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.074093e+00	1.223898e-02	1.223898e-02
5.000000e+00	1.000000e+01	1.109259e+00	1.339755e-02	1.339755e-02
1.000000e+01	1.500000e+01	1.150652e+00	1.797644e-02	1.797644e-02
1.500000e+01	2.000000e+01	1.201771e+00	2.001175e-02	2.001175e-02
2.000000e+01	2.500000e+01	1.324071e+00	3.579581e-02	3.579581e-02
2.500000e+01	3.000000e+01	1.212919e+00	2.715482e-02	2.715482e-02
3.000000e+01	3.500000e+01	1.336782e+00	4.432606e-02	4.432606e-02
3.500000e+01	4.000000e+01	1.326738e+00	5.238520e-02	5.238520e-02
4.000000e+01	4.500000e+01	1.468190e+00	7.403633e-02	7.403633e-02
4.500000e+01	5.000000e+01	1.577127e+00	7.912980e-02	7.912980e-02
5.000000e+01	5.500000e+01	1.487629e+00	1.068276e-01	1.068276e-01
5.500000e+01	6.000000e+01	1.545869e+00	8.971914e-02	8.971914e-02
6.000000e+01	6.500000e+01	1.402383e+00	8.039451e-02	8.039451e-02
6.500000e+01	7.000000e+01	1.553072e+00	1.344548e-01	1.344548e-01
7.000000e+01	8.000000e+01	1.384436e+00	1.025237e-01	1.025237e-01
8.000000e+01	9.000000e+01	1.451742e+00	9.915077e-02	9.915077e-02
9.000000e+01	1.000000e+02	1.710113e+00	1.942844e-01	1.942844e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_x2xg_cns=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_x2xg_cns=2.0]
Title=DYincl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.092248e+00	1.302511e-02	1.302511e-02
5.000000e+00	1.000000e+01	1.132025e+00	1.422121e-02	1.422121e-02
1.000000e+01	1.500000e+01	1.160589e+00	1.886841e-02	1.886841e-02
1.500000e+01	2.000000e+01	1.226185e+00	2.143761e-02	2.143761e-02
2.000000e+01	2.500000e+01	1.350386e+00	3.775107e-02	3.775107e-02
2.500000e+01	3.000000e+01	1.233688e+00	3.127711e-02	3.127711e-02
3.000000e+01	3.500000e+01	1.366777e+00	4.528728e-02	4.528728e-02
3.500000e+01	4.000000e+01	1.363900e+00	5.771031e-02	5.771031e-02
4.000000e+01	4.500000e+01	1.503885e+00	7.679292e-02	7.679292e-02
4.500000e+01	5.000000e+01	1.583164e+00	8.055759e-02	8.055759e-02
5.000000e+01	5.500000e+01	1.488073e+00	1.078875e-01	1.078875e-01
5.500000e+01	6.000000e+01	1.574553e+00	9.271511e-02	9.271511e-02
6.000000e+01	6.500000e+01	1.409345e+00	5.938284e-02	5.938284e-02
6.500000e+01	7.000000e+01	1.551839e+00	1.453890e-01	1.453890e-01
7.000000e+01	8.000000e+01	1.426263e+00	1.092324e-01	1.092324e-01
8.000000e+01	9.000000e+01	1.529781e+00	1.156325e-01	1.156325e-01
9.000000e+01	1.000000e+02	1.775751e+00	2.049015e-01	2.049015e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_q2qg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_q2qg_murfac=2.0]
Title=DYincl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.074570e+00	1.224165e-02	1.224165e-02
5.000000e+00	1.000000e+01	1.109238e+00	1.339929e-02	1.339929e-02
1.000000e+01	1.500000e+01	1.150656e+00	1.796812e-02	1.796812e-02
1.500000e+01	2.000000e+01	1.201209e+00	1.999482e-02	1.999482e-02
2.000000e+01	2.500000e+01	1.324478e+00	3.582578e-02	3.582578e-02
2.500000e+01	3.000000e+01	1.212888e+00	2.716716e-02	2.716716e-02
3.000000e+01	3.500000e+01	1.336002e+00	4.426520e-02	4.426520e-02
3.500000e+01	4.000000e+01	1.324687e+00	5.229674e-02	5.229674e-02
4.000000e+01	4.500000e+01	1.468246e+00	7.397257e-02	7.397257e-02
4.500000e+01	5.000000e+01	1.579182e+00	7.908432e-02	7.908432e-02
5.000000e+01	5.500000e+01	1.488056e+00	1.071606e-01	1.071606e-01
5.500000e+01	6.000000e+01	1.542273e+00	8.952630e-02	8.952630e-02
6.000000e+01	6.500000e+01	1.398281e+00	8.009337e-02	8.009337e-02
6.500000e+01	7.000000e+01	1.549503e+00	1.337533e-01	1.337533e-01
7.000000e+01	8.000000e+01	1.380727e+00	1.020650e-01	1.020650e-01
8.000000e+01	9.000000e+01	1.450356e+00	9.917572e-02	9.917572e-02
9.000000e+01	1.000000e+02	1.710901e+00	1.947163e-01	1.947163e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_q2qg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_q2qg_murfac=0.5]
Title=DYincl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.065254e+00	1.248733e-02	1.248733e-02
5.000000e+00	1.000000e+01	1.104725e+00	1.381417e-02	1.381417e-02
1.000000e+01	1.500000e+01	1.153308e+00	1.865440e-02	1.865440e-02
1.500000e+01	2.000000e+01	1.200031e+00	2.070029e-02	2.070029e-02
2.000000e+01	2.500000e+01	1.320499e+00	3.698153e-02	3.698153e-02
2.500000e+01	3.000000e+01	1.202726e+00	2.909406e-02	2.909406e-02
3.000000e+01	3.500000e+01	1.320528e+00	4.496277e-02	4.496277e-02
3.500000e+01	4.000000e+01	1.313033e+00	5.377077e-02	5.377077e-02
4.000000e+01	4.500000e+01	1.490852e+00	7.878084e-02	7.878084e-02
4.500000e+01	5.000000e+01	1.572854e+00	7.514971e-02	7.514971e-02
5.000000e+01	5.500000e+01	1.486856e+00	1.181417e-01	1.181417e-01
5.500000e+01	6.000000e+01	1.552477e+00	9.068750e-02	9.068750e-02
6.000000e+01	6.500000e+01	1.403924e+00	9.838028e-02	9.838028e-02
6.500000e+01	7.000000e+01	1.553466e+00	1.393781e-01	1.393781e-01
7.000000e+01	8.000000e+01	1.347816e+00	1.104805e-01	1.104805e-01
8.000000e+01	9.000000e+01	1.414230e+00	9.230309e-02	9.230309e-02
9.000000e+01	1.000000e+02	1.766753e+00	2.109436e-01	2.109436e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_q2qg_cns=_2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_q2qg_cns=_2.0]
Title=DYincl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.074303e+00	1.224905e-02	1.224905e-02
5.000000e+00	1.000000e+01	1.109756e+00	1.342315e-02	1.342315e-02
1.000000e+01	1.500000e+01	1.150903e+00	1.799540e-02	1.799540e-02
1.500000e+01	2.000000e+01	1.201585e+00	2.000353e-02	2.000353e-02
2.000000e+01	2.500000e+01	1.323625e+00	3.584556e-02	3.584556e-02
2.500000e+01	3.000000e+01	1.210982e+00	2.713084e-02	2.713084e-02
3.000000e+01	3.500000e+01	1.335729e+00	4.415281e-02	4.415281e-02
3.500000e+01	4.000000e+01	1.324937e+00	5.207302e-02	5.207302e-02
4.000000e+01	4.500000e+01	1.467204e+00	7.389222e-02	7.389222e-02
4.500000e+01	5.000000e+01	1.577309e+00	7.918503e-02	7.918503e-02
5.000000e+01	5.500000e+01	1.485260e+00	1.065218e-01	1.065218e-01
5.500000e+01	6.000000e+01	1.548009e+00	8.996937e-02	8.996937e-02
6.000000e+01	6.500000e+01	1.400706e+00	8.030367e-02	8.030367e-02
6.500000e+01	7.000000e+01	1.550261e+00	1.340746e-01	1.340746e-01
7.000000e+01	8.000000e+01	1.385115e+00	1.026573e-01	1.026573e-01
8.000000e+01	9.000000e+01	1.451656e+00	9.939442e-02	9.939442e-02
9.000000e+01	1.000000e+02	1.708856e+00	1.947868e-01	1.947868e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_q2qg_cns=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_q2qg_cns=2.0]
Title=DYincl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.074016e+00	1.223877e-02	1.223877e-02
5.000000e+00	1.000000e+01	1.109240e+00	1.339856e-02	1.339856e-02
1.000000e+01	1.500000e+01	1.150788e+00	1.797760e-02	1.797760e-02
1.500000e+01	2.000000e+01	1.202007e+00	2.001422e-02	2.001422e-02
2.000000e+01	2.500000e+01	1.323766e+00	3.578378e-02	3.578378e-02
2.500000e+01	3.000000e+01	1.212838e+00	2.714777e-02	2.714777e-02
3.000000e+01	3.500000e+01	1.336929e+00	4.433901e-02	4.433901e-02
3.500000e+01	4.000000e+01	1.327166e+00	5.237897e-02	5.237897e-02
4.000000e+01	4.500000e+01	1.468035e+00	7.402814e-02	7.402814e-02
4.500000e+01	5.000000e+01	1.577294e+00	7.910153e-02	7.910153e-02
5.000000e+01	5.500000e+01	1.487642e+00	1.068062e-01	1.068062e-01
5.500000e+01	6.000000e+01	1.546203e+00	8.974964e-02	8.974964e-02
6.000000e+01	6.500000e+01	1.402255e+00	8.031878e-02	8.031878e-02
6.500000e+01	7.000000e+01	1.553181e+00	1.344661e-01	1.344661e-01
7.000000e+01	8.000000e+01	1.384424e+00	1.026770e-01	1.026770e-01
8.000000e+01	9.000000e+01	1.451844e+00	9.913319e-02	9.913319e-02
9.000000e+01	1.000000e+02	1.710446e+00	1.942806e-01	1.942806e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_murfac=4.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fb8f199f1c0/DYincl.yoda.gz/CMS_2017_I1635889/d04-x01-y01[isr_murfac=4.0]
Title=DYincl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.099095e+00	1.472631e-02	1.472631e-02
5.000000e+00	1.000000e+01	1.149622e+00	1.744634e-02	1.744634e-02
1.000000e+01	1.500000e+01	1.165142e+00	2.177044e-02	2.177044e-02
1.500000e+01	2.000000e+01	1.246376e+00	2.486739e-02	2.486739e-02
2.000000e+01	2.500000e+01	1.378506e+00	4.273245e-02	4.273245e-02
2.500000e+01	3.000000e+01	1.203003e+00	3.590634e-02	3.590634e-02
3.000000e+01	3.500000e+01	1.363499e+00	4.909701e-02	4.909701e-02
3.500000e+01	4.000000e+01	1.399770e+00	6.914776e-02	6.914776e-02
4.000000e+01	4.500000e+01	1.586711e+00	9.055071e-02	9.055071e-02
4.500000e+01	5.000000e+01	1.601150e+00	8.806505e-02	8.806505e-02
5.000000e+01	5.500000e+01	1.524623e+00	1.348759e-01	1.348759e-01
