# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of first tau
XLabel=$y(\tau\mathrm{1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\tau\mathrm{1})$ [pb]
DrawOnly=//u/user/choij/tmp_0x7fe3517081c0/incl.yoda.gz/MC_TAUS:ENERGY=13000/tau_y_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To50.yoda.gz/MC_TAUS:ENERGY=13000/tau_y_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To100.yoda.gz/MC_TAUS:ENERGY=13000/tau_y_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To250.yoda.gz/MC_TAUS:ENERGY=13000/tau_y_1
LegendOnly=//u/user/choij/tmp_0x7fe3517081c0/incl.yoda.gz/MC_TAUS:ENERGY=13000/tau_y_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To50.yoda.gz/MC_TAUS:ENERGY=13000/tau_y_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To100.yoda.gz/MC_TAUS:ENERGY=13000/tau_y_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To250.yoda.gz/MC_TAUS:ENERGY=13000/tau_y_1
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7fe3517081c0/incl.yoda.gz/MC_TAUS:ENERGY=13000/tau_y_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7fe3517081c0/incl.yoda.gz/MC_TAUS:ENERGY=13000/tau_y_1[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fe3517081c0/incl.yoda.gz/MC_TAUS:ENERGY=13000/tau_y_1[isr_x2xg_murfac=2.0]
ScaledBy=9.92893546258786715e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	3.670774e+01	2.576370e+00	2.576370e+00
-4.800000e+00	-4.600000e+00	4.576631e+01	2.919155e+00	2.919155e+00
-4.600000e+00	-4.400000e+00	6.089015e+01	3.328091e+00	3.328091e+00
-4.400000e+00	-4.200000e+00	7.545285e+01	3.744764e+00	3.744764e+00
-4.200000e+00	-4.000000e+00	8.954310e+01	4.025436e+00	4.025436e+00
-4.000000e+00	-3.800000e+00	1.149453e+02	4.589542e+00	4.589542e+00
-3.800000e+00	-3.600000e+00	1.168260e+02	4.924475e+00	4.924475e+00
-3.600000e+00	-3.400000e+00	1.564595e+02	5.375381e+00	5.375381e+00
-3.400000e+00	-3.200000e+00	1.722167e+02	5.694054e+00	5.694054e+00
-3.200000e+00	-3.000000e+00	1.931326e+02	6.054046e+00	6.054046e+00
-3.000000e+00	-2.800000e+00	2.185981e+02	6.342178e+00	6.342178e+00
-2.800000e+00	-2.600000e+00	2.357467e+02	6.644787e+00	6.644787e+00
-2.600000e+00	-2.400000e+00	2.362781e+02	6.778097e+00	6.778097e+00
-2.400000e+00	-2.200000e+00	2.591170e+02	7.012419e+00	7.012419e+00
-2.200000e+00	-2.000000e+00	2.860275e+02	7.236484e+00	7.236484e+00
-2.000000e+00	-1.800000e+00	2.818506e+02	7.308394e+00	7.308394e+00
-1.800000e+00	-1.600000e+00	2.947805e+02	7.362540e+00	7.362540e+00
-1.600000e+00	-1.400000e+00	2.929737e+02	7.394880e+00	7.394880e+00
-1.400000e+00	-1.200000e+00	3.015516e+02	7.520505e+00	7.520505e+00
-1.200000e+00	-1.000000e+00	3.058457e+02	7.589476e+00	7.589476e+00
-1.000000e+00	-8.000000e-01	3.056148e+02	7.588809e+00	7.588809e+00
-8.000000e-01	-6.000000e-01	3.106612e+02	7.580711e+00	7.580711e+00
-6.000000e-01	-4.000000e-01	3.019709e+02	7.540307e+00	7.540307e+00
-4.000000e-01	-2.000000e-01	3.133166e+02	7.593670e+00	7.593670e+00
-2.000000e-01	0.000000e+00	3.311429e+02	7.763905e+00	7.763905e+00
0.000000e+00	2.000000e-01	3.022990e+02	7.575333e+00	7.575333e+00
2.000000e-01	4.000000e-01	3.092661e+02	7.594490e+00	7.594490e+00
4.000000e-01	6.000000e-01	3.196574e+02	7.655073e+00	7.655073e+00
6.000000e-01	8.000000e-01	3.219895e+02	7.672750e+00	7.672750e+00
8.000000e-01	1.000000e+00	3.030054e+02	7.490077e+00	7.490077e+00
1.000000e+00	1.200000e+00	2.998653e+02	7.485164e+00	7.485164e+00
1.200000e+00	1.400000e+00	3.000020e+02	7.479898e+00	7.479898e+00
1.400000e+00	1.600000e+00	2.939639e+02	7.378562e+00	7.378562e+00
