# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between jets
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mathrm{jet~2,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~2,~jet~3})$ [pb]
DrawOnly=//u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_23 //u/user/choij/tmp_0x7fbf5de6a1c0/MG331.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_23 //u/user/choij/tmp_0x7fbf5de6a1c0/MG331_ImprovedFxFx.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_23
LegendOnly=//u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_23 //u/user/choij/tmp_0x7fbf5de6a1c0/MG331.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_23 //u/user/choij/tmp_0x7fbf5de6a1c0/MG331_ImprovedFxFx.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_23
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_23
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_23[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_23[isr_x2xg_murfac=2.0]
ScaledBy=9.90718721677323265e-07
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	2.594680e-01	4.379295e-01	4.379295e-01
4.000000e-01	6.000000e-01	1.192484e+02	5.788216e+00	5.788216e+00
6.000000e-01	8.000000e-01	2.112530e+02	7.383268e+00	7.383268e+00
8.000000e-01	1.000000e+00	2.603969e+02	8.155541e+00	8.155541e+00
1.000000e+00	1.200000e+00	3.266677e+02	9.190120e+00	9.190120e+00
1.200000e+00	1.400000e+00	3.906843e+02	9.897058e+00	9.897058e+00
1.400000e+00	1.600000e+00	4.485094e+02	1.072610e+01	1.072610e+01
1.600000e+00	1.800000e+00	4.835192e+02	1.129532e+01	1.129532e+01
1.800000e+00	2.000000e+00	5.513775e+02	1.172476e+01	1.172476e+01
2.000000e+00	2.200000e+00	5.195200e+02	1.171238e+01	1.171238e+01
2.200000e+00	2.400000e+00	5.133995e+02	1.144136e+01	1.144136e+01
2.400000e+00	2.600000e+00	4.552512e+02	1.112413e+01	1.112413e+01
2.600000e+00	2.800000e+00	4.243857e+02	1.067520e+01	1.067520e+01
2.800000e+00	3.000000e+00	3.708162e+02	1.005572e+01	1.005572e+01
3.000000e+00	3.200000e+00	3.334955e+02	9.510127e+00	9.510127e+00
3.200000e+00	3.400000e+00	2.462692e+02	8.011899e+00	8.011899e+00
3.400000e+00	3.600000e+00	1.896642e+02	7.192908e+00	7.192908e+00
3.600000e+00	3.800000e+00	1.571748e+02	6.486287e+00	6.486287e+00
3.800000e+00	4.000000e+00	1.325297e+02	5.972527e+00	5.972527e+00
4.000000e+00	4.200000e+00	1.060493e+02	5.405382e+00	5.405382e+00
4.200000e+00	4.400000e+00	8.972715e+01	4.848056e+00	4.848056e+00
4.400000e+00	4.600000e+00	7.429780e+01	4.545722e+00	4.545722e+00
4.600000e+00	4.800000e+00	5.366025e+01	4.124364e+00	4.124364e+00
4.800000e+00	5.000000e+00	5.213005e+01	3.867192e+00	3.867192e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_23[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_23[isr_x2xg_murfac=0.5]
ScaledBy=9.90722131937632883e-07
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	2.521873e-01	4.342941e-01	4.342941e-01
4.000000e-01	6.000000e-01	1.191080e+02	5.781023e+00	5.781023e+00
6.000000e-01	8.000000e-01	2.108819e+02	7.371721e+00	7.371721e+00
8.000000e-01	1.000000e+00	2.599942e+02	8.151894e+00	8.151894e+00
1.000000e+00	1.200000e+00	3.268847e+02	9.187546e+00	9.187546e+00
1.200000e+00	1.400000e+00	3.902372e+02	9.882467e+00	9.882467e+00
1.400000e+00	1.600000e+00	4.485959e+02	1.071973e+01	1.071973e+01
1.600000e+00	1.800000e+00	4.829259e+02	1.128176e+01	1.128176e+01
1.800000e+00	2.000000e+00	5.511705e+02	1.171399e+01	1.171399e+01
2.000000e+00	2.200000e+00	5.187585e+02	1.170151e+01	1.170151e+01
2.200000e+00	2.400000e+00	5.130875e+02	1.143511e+01	1.143511e+01
2.400000e+00	2.600000e+00	4.548237e+02	1.111877e+01	1.111877e+01
2.600000e+00	2.800000e+00	4.247186e+02	1.067530e+01	1.067530e+01
