ibin	Eff	Err
0	0.0000	0.0000	
1	0.0024	0.0004	
2	0.0009	0.0002	
3	0.0008	0.0003	
4	0.0001	0.0001	
5	0.0044	0.0006	
6	0.0049	0.0005	
7	0.0058	0.0008	
8	0.4984	0.0025	
9	0.5049	0.0045	
10	0.4744	0.0027	
11	0.4538	0.0050	
12	0.9526	0.0009	
13	0.9520	0.0017	
14	0.9232	0.0013	
15	0.8921	0.0028	
16	0.9537	0.0004	
17	0.9608	0.0008	
18	0.9344	0.0006	
19	0.9125	0.0013	
20	0.9537	0.0003	
21	0.9647	0.0005	
22	0.9352	0.0004	
23	0.9165	0.0009	
24	0.9529	0.0001	
25	0.9678	0.0002	
26	0.9344	0.0002	
27	0.9169	0.0004	
28	0.9517	0.0001	
29	0.9686	0.0002	
30	0.9401	0.0001	
31	0.9166	0.0004	
32	0.9501	0.0002	
33	0.9686	0.0003	
34	0.9457	0.0003	
35	0.9156	0.0008	
36	0.9424	0.0015	
37	0.9661	0.0020	
38	0.9489	0.0016	
39	0.9054	0.0059	
