# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$
XLabel=$|y^{Z}|$
YLabel=$1/\sigma d\sigma/d|y^{Z}|$
LegendXPos=0.05
LegendYPos=0.7
DrawOnly=/CMS_2019_I1753680/d32-x01-y01 //u/user/choij/tmp_0x7fb5067a71c0/incl.yoda.gz/CMS_2019_I1753680/d32-x01-y01 //u/user/choij/tmp_0x7fb5067a71c0/ZpTStack.yoda.gz/CMS_2019_I1753680/d32-x01-y01
LegendOnly=/CMS_2019_I1753680/d32-x01-y01 //u/user/choij/tmp_0x7fb5067a71c0/incl.yoda.gz/CMS_2019_I1753680/d32-x01-y01 //u/user/choij/tmp_0x7fb5067a71c0/ZpTStack.yoda.gz/CMS_2019_I1753680/d32-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d32-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d32-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d32-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.084000e-01	1.129100e-03	1.129100e-03
2.000000e-01	4.000000e-01	1.080600e-01	1.137600e-03	1.137600e-03
4.000000e-01	6.000000e-01	1.076800e-01	1.141100e-03	1.141100e-03
6.000000e-01	8.000000e-01	1.068900e-01	1.018600e-03	1.018600e-03
8.000000e-01	1.000000e+00	1.059000e-01	9.708800e-04	9.708800e-04
1.000000e+00	1.200000e+00	1.045100e-01	1.045300e-03	1.045300e-03
1.200000e+00	1.400000e+00	9.984400e-02	1.238500e-03	1.238500e-03
1.400000e+00	1.600000e+00	8.904600e-02	9.042000e-04	9.042000e-04
1.600000e+00	1.800000e+00	7.310300e-02	6.387300e-04	6.387300e-04
1.800000e+00	2.000000e+00	5.373200e-02	4.748700e-04	4.748700e-04
2.000000e+00	2.200000e+00	3.236100e-02	2.316500e-04	2.316500e-04
2.200000e+00	2.400000e+00	1.047200e-02	9.063100e-05	9.063100e-05
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fb5067a71c0/incl.yoda.gz/CMS_2019_I1753680/d32-x01-y01[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fb5067a71c0/incl.yoda.gz/CMS_2019_I1753680/d32-x01-y01[isr_x2xg_murfac=2.0]
ScaledBy=1.34021220607540611e-10
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.098728e-01	1.633950e-03	1.633950e-03
2.000000e-01	4.000000e-01	1.072244e-01	1.610170e-03	1.610170e-03
4.000000e-01	6.000000e-01	1.057663e-01	1.605590e-03	1.605590e-03
6.000000e-01	8.000000e-01	1.087813e-01	1.619206e-03	1.619206e-03
8.000000e-01	1.000000e+00	1.060232e-01	1.602355e-03	1.602355e-03
1.000000e+00	1.200000e+00	1.069814e-01	1.602749e-03	1.602749e-03
1.200000e+00	1.400000e+00	9.806685e-02	1.555288e-03	1.555288e-03
1.400000e+00	1.600000e+00	8.930485e-02	1.467435e-03	1.467435e-03
1.600000e+00	1.800000e+00	7.273545e-02	1.338708e-03	1.338708e-03
1.800000e+00	2.000000e+00	5.304065e-02	1.159327e-03	1.159327e-03
