# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$
XMin=0.1
LogX=1
XLabel=$p_{T}^{Z}$ [GeV]
YLabel=$d\sigma/dp_{T}^{Z}$ [pb/GeV]
DrawOnly=/CMS_2019_I1753680/d27-x01-y03 //u/user/choij/tmp_0x7fb5067a71c0/incl.yoda.gz/CMS_2019_I1753680/d27-x01-y03 //u/user/choij/tmp_0x7fb5067a71c0/ZpTStack.yoda.gz/CMS_2019_I1753680/d27-x01-y03
LegendOnly=/CMS_2019_I1753680/d27-x01-y03 //u/user/choij/tmp_0x7fb5067a71c0/incl.yoda.gz/CMS_2019_I1753680/d27-x01-y03 //u/user/choij/tmp_0x7fb5067a71c0/ZpTStack.yoda.gz/CMS_2019_I1753680/d27-x01-y03
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d27-x01-y03
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d27-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d27-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	9.282100e+00	2.977800e-01	2.977800e-01
1.000000e+00	2.000000e+00	2.278600e+01	7.076500e-01	7.076500e-01
2.000000e+00	3.000000e+00	3.206200e+01	9.636700e-01	9.636700e-01
3.000000e+00	4.000000e+00	3.622500e+01	1.062100e+00	1.062100e+00
4.000000e+00	5.000000e+00	3.688200e+01	1.068100e+00	1.068100e+00
5.000000e+00	6.000000e+00	3.557900e+01	1.024600e+00	1.024600e+00
6.000000e+00	7.000000e+00	3.354700e+01	9.626400e-01	9.626400e-01
7.000000e+00	8.000000e+00	3.132400e+01	8.955400e-01	8.955400e-01
8.000000e+00	9.000000e+00	2.908900e+01	8.277300e-01	8.277300e-01
9.000000e+00	1.000000e+01	2.693300e+01	7.627800e-01	7.627800e-01
1.000000e+01	1.100000e+01	2.476700e+01	7.000900e-01	7.000900e-01
1.100000e+01	1.200000e+01	2.275400e+01	6.414300e-01	6.414300e-01
1.200000e+01	1.300000e+01	2.114300e+01	5.927800e-01	5.927800e-01
1.300000e+01	1.400000e+01	1.959900e+01	5.482400e-01	5.482400e-01
1.400000e+01	1.600000e+01	1.725500e+01	4.821300e-01	4.821300e-01
1.600000e+01	1.800000e+01	1.485000e+01	4.141800e-01	4.141800e-01
1.800000e+01	2.000000e+01	1.289500e+01	3.595400e-01	3.595400e-01
2.000000e+01	2.200000e+01	1.120600e+01	3.118600e-01	3.118600e-01
2.200000e+01	2.500000e+01	9.509500e+00	2.638600e-01	2.638600e-01
2.500000e+01	2.800000e+01	7.873400e+00	2.184800e-01	2.184800e-01
