# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to e^+ e^-$
XMin=0.1
LogX=1
XLabel=$p_{T}^{Z}$ [GeV]
YLabel=$d\sigma/dp_{T}^{Z}$ [pb/GeV]
DrawOnly=/CMS_2019_I1753680/d27-x01-y02 //u/user/choij/tmp_0x7fc656bc21c0/incl.yoda.gz/CMS_2019_I1753680/d27-x01-y02 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To50.yoda.gz/CMS_2019_I1753680/d27-x01-y02 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To100.yoda.gz/CMS_2019_I1753680/d27-x01-y02 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To250.yoda.gz/CMS_2019_I1753680/d27-x01-y02
LegendOnly=/CMS_2019_I1753680/d27-x01-y02 //u/user/choij/tmp_0x7fc656bc21c0/incl.yoda.gz/CMS_2019_I1753680/d27-x01-y02 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To50.yoda.gz/CMS_2019_I1753680/d27-x01-y02 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To100.yoda.gz/CMS_2019_I1753680/d27-x01-y02 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To250.yoda.gz/CMS_2019_I1753680/d27-x01-y02
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d27-x01-y02
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d27-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d27-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	9.004200e+00	2.959600e-01	2.959600e-01
1.000000e+00	2.000000e+00	2.348200e+01	7.559700e-01	7.559700e-01
2.000000e+00	3.000000e+00	3.284800e+01	1.043700e+00	1.043700e+00
3.000000e+00	4.000000e+00	3.702500e+01	1.168100e+00	1.168100e+00
4.000000e+00	5.000000e+00	3.757800e+01	1.178500e+00	1.178500e+00
5.000000e+00	6.000000e+00	3.620100e+01	1.130200e+00	1.130200e+00
6.000000e+00	7.000000e+00	3.427500e+01	1.067300e+00	1.067300e+00
7.000000e+00	8.000000e+00	3.220000e+01	1.000300e+00	1.000300e+00
8.000000e+00	9.000000e+00	2.983400e+01	9.249100e-01	9.249100e-01
9.000000e+00	1.000000e+01	2.736900e+01	8.475100e-01	8.475100e-01
1.000000e+01	1.100000e+01	2.497300e+01	7.726500e-01	7.726500e-01
1.100000e+01	1.200000e+01	2.334000e+01	7.217100e-01	7.217100e-01
1.200000e+01	1.300000e+01	2.167800e+01	6.698100e-01	6.698100e-01
1.300000e+01	1.400000e+01	1.970700e+01	6.076400e-01	6.076400e-01
1.400000e+01	1.600000e+01	1.756100e+01	5.401800e-01	5.401800e-01
1.600000e+01	1.800000e+01	1.522100e+01	4.677100e-01	4.677100e-01
1.800000e+01	2.000000e+01	1.311900e+01	4.030800e-01	4.030800e-01
2.000000e+01	2.200000e+01	1.135400e+01	3.492600e-01	3.492600e-01
2.200000e+01	2.500000e+01	9.736000e+00	3.003700e-01	3.003700e-01
2.500000e+01	2.800000e+01	7.967900e+00	2.467000e-01	2.467000e-01
2.800000e+01	3.200000e+01	6.485600e+00	2.017000e-01	2.017000e-01
