# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of third jet
XLabel=$p_\perp(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~3})$ [pb/GeV]
LogX=1
XMin=20.0
DrawOnly=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT0To50.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT50to100.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT100to250.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT250to400.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT400to650.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT650toInf.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3
LegendOnly=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT0To50.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT50to100.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT100to250.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT250to400.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT400to650.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f1a185241c0/ZpT650toInf.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3[isr_x2xg_murfac=2.0]
ScaledBy=9.92893546258786715e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	5.608526e+01	8.423945e-01	8.423945e-01
2.162608e+01	2.523326e+01	8.448104e+01	9.956553e-01	9.956553e-01
2.523326e+01	2.944211e+01	6.424030e+01	8.749945e-01	8.749945e-01
2.944211e+01	3.435298e+01	4.268608e+01	7.332529e-01	7.332529e-01
3.435298e+01	4.008298e+01	2.658476e+01	5.477717e-01	5.477717e-01
4.008298e+01	4.676873e+01	1.453127e+01	3.756365e-01	3.756365e-01
4.676873e+01	5.456964e+01	7.748314e+00	2.506738e-01	2.506738e-01
5.456964e+01	6.367173e+01	3.353323e+00	1.612534e-01	1.612534e-01
6.367173e+01	7.429203e+01	1.820517e+00	1.025138e-01	1.025138e-01
7.429203e+01	8.668377e+01	9.477232e-01	6.673665e-02	6.673665e-02
8.668377e+01	1.011424e+02	4.675627e-01	4.204083e-02	4.204083e-02
1.011424e+02	1.180127e+02	2.001854e-01	2.742844e-02	2.742844e-02
1.180127e+02	1.376970e+02	1.094064e-01	1.673352e-02	1.673352e-02
1.376970e+02	1.606645e+02	4.894111e-02	9.824662e-03	9.824662e-03
1.606645e+02	1.874630e+02	1.628314e-02	5.537880e-03	5.537880e-03
1.874630e+02	2.187314e+02	7.904655e-03	3.187703e-03	3.187703e-03
2.187314e+02	2.552153e+02	-7.012246e-04	1.814993e-03	1.814993e-03
2.552153e+02	2.977846e+02	6.696368e-07	8.300728e-04	8.300728e-04
2.977846e+02	3.474544e+02	5.570067e-04	5.570067e-04	5.570067e-04
3.474544e+02	4.054090e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.054090e+02	4.730302e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.730302e+02	5.519306e+02	3.196368e-04	3.196367e-04	3.196367e-04
5.519306e+02	6.439913e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.439913e+02	7.514076e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.514076e+02	8.767406e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.767406e+02	1.022979e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.022979e+03	1.193609e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.193609e+03	1.392701e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.392701e+03	1.625000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3[isr_x2xg_murfac=0.5]
ScaledBy=9.92889549571811558e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	5.611010e+01	8.421892e-01	8.421892e-01
2.162608e+01	2.523326e+01	8.454959e+01	9.952581e-01	9.952581e-01
2.523326e+01	2.944211e+01	6.422712e+01	8.743517e-01	8.743517e-01
2.944211e+01	3.435298e+01	4.269647e+01	7.326790e-01	7.326790e-01
3.435298e+01	4.008298e+01	2.657386e+01	5.473750e-01	5.473750e-01
4.008298e+01	4.676873e+01	1.453036e+01	3.752573e-01	3.752573e-01
4.676873e+01	5.456964e+01	7.744857e+00	2.504676e-01	2.504676e-01
5.456964e+01	6.367173e+01	3.352555e+00	1.611336e-01	1.611336e-01
6.367173e+01	7.429203e+01	1.821640e+00	1.025230e-01	1.025230e-01
7.429203e+01	8.668377e+01	9.455274e-01	6.664389e-02	6.664389e-02
8.668377e+01	1.011424e+02	4.679403e-01	4.203747e-02	4.203747e-02
1.011424e+02	1.180127e+02	1.998214e-01	2.742707e-02	2.742707e-02
1.180127e+02	1.376970e+02	1.086814e-01	1.670774e-02	1.670774e-02
1.376970e+02	1.606645e+02	4.882325e-02	9.788424e-03	9.788424e-03
1.606645e+02	1.874630e+02	1.676175e-02	5.598732e-03	5.598732e-03
1.874630e+02	2.187314e+02	8.019355e-03	3.202942e-03	3.202942e-03
2.187314e+02	2.552153e+02	-6.680262e-04	1.817566e-03	1.817566e-03
2.552153e+02	2.977846e+02	1.426734e-06	8.306052e-04	8.306052e-04
2.977846e+02	3.474544e+02	5.027544e-04	5.027545e-04	5.027545e-04
3.474544e+02	4.054090e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.054090e+02	4.730302e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.730302e+02	5.519306e+02	3.164965e-04	3.164965e-04	3.164965e-04
5.519306e+02	6.439913e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.439913e+02	7.514076e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.514076e+02	8.767406e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.767406e+02	1.022979e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.022979e+03	1.193609e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.193609e+03	1.392701e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.392701e+03	1.625000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3[isr_x2xg_cns=_2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_3[isr_x2xg_cns=_2.0]
ScaledBy=9.92892427482732767e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	5.612427e+01	8.424671e-01	8.424671e-01
2.162608e+01	2.523326e+01	8.456329e+01	9.953462e-01	9.953462e-01
2.523326e+01	2.944211e+01	6.424681e+01	8.743203e-01	8.743203e-01
2.944211e+01	3.435298e+01	4.270549e+01	7.325938e-01	7.325938e-01
3.435298e+01	4.008298e+01	2.656602e+01	5.473169e-01	5.473169e-01
4.008298e+01	4.676873e+01	1.452572e+01	3.752751e-01	3.752751e-01
4.676873e+01	5.456964e+01	7.737095e+00	2.504515e-01	2.504515e-01
5.456964e+01	6.367173e+01	3.352517e+00	1.610965e-01	1.610965e-01
6.367173e+01	7.429203e+01	1.822514e+00	1.025218e-01	1.025218e-01
7.429203e+01	8.668377e+01	9.450787e-01	6.662096e-02	6.662096e-02
8.668377e+01	1.011424e+02	4.680641e-01	4.205798e-02	4.205798e-02
1.011424e+02	1.180127e+02	1.998305e-01	2.741300e-02	2.741300e-02
1.180127e+02	1.376970e+02	1.091096e-01	1.673421e-02	1.673421e-02
1.376970e+02	1.606645e+02	4.892600e-02	9.785193e-03	9.785193e-03
1.606645e+02	1.874630e+02	1.677259e-02	5.590743e-03	5.590743e-03
1.874630e+02	2.187314e+02	7.985874e-03	3.194399e-03	3.194399e-03
2.187314e+02	2.552153e+02	-6.845740e-04	1.810863e-03	1.810863e-03
2.552153e+02	2.977846e+02	-9.562899e-09	8.295914e-04	8.295914e-04
2.977846e+02	3.474544e+02	5.027556e-04	5.027556e-04	5.027556e-04
3.474544e+02	4.054090e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.054090e+02	4.730302e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.730302e+02	5.519306e+02	3.164974e-04	3.164974e-04	3.164974e-04
5.519306e+02	6.439913e+02	0.000000e+00	0.000000e+00	0.000000e+00
