# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of first jet
XLabel=$m(\mathrm{jet~1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~1})$ [pb/GeV]
DrawOnly=//u/user/choij/tmp_0x7fe3517081c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To50.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To100.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To250.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_1
LegendOnly=//u/user/choij/tmp_0x7fe3517081c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To50.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To100.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_1 //u/user/choij/tmp_0x7fe3517081c0/ZpT0To250.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_1
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7fe3517081c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7fe3517081c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_1[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fe3517081c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_1[isr_x2xg_murfac=2.0]
ScaledBy=9.92893546258786715e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	5.610590e+02	1.989192e+01	1.989192e+01
1.047129e+00	1.096478e+00	5.759720e+02	1.990629e+01	1.990629e+01
1.096478e+00	1.148154e+00	5.591286e+02	1.959406e+01	1.959406e+01
1.148154e+00	1.202264e+00	6.423962e+02	2.001267e+01	2.001267e+01
1.202264e+00	1.258925e+00	6.371227e+02	1.954726e+01	1.954726e+01
1.258925e+00	1.318257e+00	6.711316e+02	1.946755e+01	1.946755e+01
1.318257e+00	1.380384e+00	6.665912e+02	1.906509e+01	1.906509e+01
1.380384e+00	1.445440e+00	6.710678e+02	1.867782e+01	1.867782e+01
1.445440e+00	1.513561e+00	6.966872e+02	1.849565e+01	1.849565e+01
1.513561e+00	1.584893e+00	7.147472e+02	1.848536e+01	1.848536e+01
1.584893e+00	1.659587e+00	7.115112e+02	1.778590e+01	1.778590e+01
1.659587e+00	1.737801e+00	7.031253e+02	1.736956e+01	1.736956e+01
1.737801e+00	1.819701e+00	7.552514e+02	1.748080e+01	1.748080e+01
1.819701e+00	1.905461e+00	7.893942e+02	1.758617e+01	1.758617e+01
1.905461e+00	1.995262e+00	8.379918e+02	1.757762e+01	1.757762e+01
1.995262e+00	2.089296e+00	8.957435e+02	1.782665e+01	1.782665e+01
2.089296e+00	2.187762e+00	8.858526e+02	1.735668e+01	1.735668e+01
2.187762e+00	2.290868e+00	8.677016e+02	1.698184e+01	1.698184e+01
2.290868e+00	2.398833e+00	8.488913e+02	1.644639e+01	1.644639e+01
2.398833e+00	2.511886e+00	8.327622e+02	1.593349e+01	1.593349e+01
2.511886e+00	2.630268e+00	7.474495e+02	1.494945e+01	1.494945e+01
2.630268e+00	2.754229e+00	7.214831e+02	1.432013e+01	1.432013e+01
2.754229e+00	2.884032e+00	6.933614e+02	1.361092e+01	1.361092e+01
2.884032e+00	3.019952e+00	6.657351e+02	1.312285e+01	1.312285e+01
3.019952e+00	3.162278e+00	6.478504e+02	1.256009e+01	1.256009e+01
3.162278e+00	3.311311e+00	6.023913e+02	1.197653e+01	1.197653e+01
3.311311e+00	3.467369e+00	5.702108e+02	1.144443e+01	1.144443e+01
3.467369e+00	3.630781e+00	5.599324e+02	1.104382e+01	1.104382e+01
3.630781e+00	3.801894e+00	5.450210e+02	1.062440e+01	1.062440e+01
3.801894e+00	3.981072e+00	5.309979e+02	1.028722e+01	1.028722e+01
3.981072e+00	4.168694e+00	5.165258e+02	9.944133e+00	9.944133e+00
4.168694e+00	4.365158e+00	5.055779e+02	9.667979e+00	9.667979e+00
4.365158e+00	4.570882e+00	5.105642e+02	9.460381e+00	9.460381e+00
4.570882e+00	4.786301e+00	4.927300e+02	9.109824e+00	9.109824e+00
4.786301e+00	5.011872e+00	4.743163e+02	8.815030e+00	8.815030e+00
5.011872e+00	5.248075e+00	4.691613e+02	8.636987e+00	8.636987e+00
5.248075e+00	5.495409e+00	4.677913e+02	8.365081e+00	8.365081e+00
5.495409e+00	5.754399e+00	4.462709e+02	7.997440e+00	7.997440e+00
5.754399e+00	6.025596e+00	4.288292e+02	7.809332e+00	7.809332e+00
6.025596e+00	6.309573e+00	4.024248e+02	7.404110e+00	7.404110e+00
6.309573e+00	6.606934e+00	3.850808e+02	7.061328e+00	7.061328e+00
6.606934e+00	6.918310e+00	3.674056e+02	6.784076e+00	6.784076e+00
6.918310e+00	7.244360e+00	3.496964e+02	6.487276e+00	6.487276e+00
7.244360e+00	7.585776e+00	3.214141e+02	6.115866e+00	6.115866e+00
7.585776e+00	7.943282e+00	2.863983e+02	5.731554e+00	5.731554e+00
7.943282e+00	8.317638e+00	2.606966e+02	5.421510e+00	5.421510e+00
8.317638e+00	8.709636e+00	2.395419e+02	5.136010e+00	5.136010e+00
8.709636e+00	9.120108e+00	2.155691e+02	4.723118e+00	4.723118e+00
9.120108e+00	9.549926e+00	1.870548e+02	4.391314e+00	4.391314e+00
9.549926e+00	1.000000e+01	1.499206e+02	3.969469e+00	3.969469e+00
1.000000e+01	1.047129e+01	1.303497e+02	3.574438e+00	3.574438e+00
1.047129e+01	1.096478e+01	1.120968e+02	3.275349e+00	3.275349e+00
1.096478e+01	1.148154e+01	9.203866e+01	2.928556e+00	2.928556e+00
1.148154e+01	1.202264e+01	7.413680e+01	2.660478e+00	2.660478e+00
1.202264e+01	1.258925e+01	6.381566e+01	2.379738e+00	2.379738e+00
1.258925e+01	1.318257e+01	4.446708e+01	2.095374e+00	2.095374e+00
1.318257e+01	1.380384e+01	3.768112e+01	1.881733e+00	1.881733e+00
1.380384e+01	1.445440e+01	3.179133e+01	1.701953e+00	1.701953e+00
1.445440e+01	1.513561e+01	2.519857e+01	1.489212e+00	1.489212e+00
1.513561e+01	1.584893e+01	1.957070e+01	1.323460e+00	1.323460e+00
1.584893e+01	1.659587e+01	1.660987e+01	1.150272e+00	1.150272e+00
1.659587e+01	1.737801e+01	1.528072e+01	1.060066e+00	1.060066e+00
1.737801e+01	1.819701e+01	1.151040e+01	9.183769e-01	9.183769e-01
1.819701e+01	1.905461e+01	9.098166e+00	8.151002e-01	8.151002e-01
