# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$
XMin=0.001
LogX=1
XLabel=$\phi^{*}_{\eta}$
YLabel=$1/\sigma d\sigma/d\phi^{*}_{\eta}$
DrawOnly=/CMS_2019_I1753680/d31-x01-y01 //u/user/choij/tmp_0x7fbab46a51c0/MG273.yoda.gz/CMS_2019_I1753680/d31-x01-y01 //u/user/choij/tmp_0x7fbab46a51c0/MG299.yoda.gz/CMS_2019_I1753680/d31-x01-y01 //u/user/choij/tmp_0x7fbab46a51c0/MG331.yoda.gz/CMS_2019_I1753680/d31-x01-y01
LegendOnly=/CMS_2019_I1753680/d31-x01-y01 //u/user/choij/tmp_0x7fbab46a51c0/MG273.yoda.gz/CMS_2019_I1753680/d31-x01-y01 //u/user/choij/tmp_0x7fbab46a51c0/MG299.yoda.gz/CMS_2019_I1753680/d31-x01-y01 //u/user/choij/tmp_0x7fbab46a51c0/MG331.yoda.gz/CMS_2019_I1753680/d31-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d31-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d31-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d31-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-03	2.000000e-03	6.756700e-02	5.914700e-04	5.914700e-04
2.000000e-03	3.000000e-03	6.682400e-02	6.144600e-04	6.144600e-04
3.000000e-03	4.000000e-03	6.627700e-02	6.577000e-04	6.577000e-04
4.000000e-03	5.000000e-03	6.591900e-02	6.809400e-04	6.809400e-04
5.000000e-03	6.000000e-03	6.571300e-02	6.908100e-04	6.908100e-04
6.000000e-03	7.000000e-03	6.557900e-02	6.988300e-04	6.988300e-04
7.000000e-03	8.000000e-03	6.537900e-02	6.982400e-04	6.982400e-04
8.000000e-03	9.000000e-03	6.508500e-02	6.888600e-04	6.888600e-04
9.000000e-03	1.000000e-02	6.474200e-02	6.881500e-04	6.881500e-04
1.000000e-02	2.000000e-02	6.280100e-02	6.591500e-04	6.591500e-04
2.000000e-02	3.000000e-02	5.726800e-02	5.961700e-04	5.961700e-04
3.000000e-02	4.000000e-02	5.119500e-02	5.321000e-04	5.321000e-04
4.000000e-02	5.000000e-02	4.535900e-02	4.672200e-04	4.672200e-04
5.000000e-02	6.000000e-02	3.998400e-02	4.098800e-04	4.098800e-04
6.000000e-02	7.000000e-02	3.525700e-02	3.621300e-04	3.621300e-04
7.000000e-02	8.000000e-02	3.115300e-02	3.202700e-04	3.202700e-04
8.000000e-02	9.000000e-02	2.778500e-02	2.801100e-04	2.801100e-04
9.000000e-02	1.000000e-01	2.480800e-02	2.500100e-04	2.500100e-04
1.000000e-01	2.000000e-01	1.492000e-02	1.454900e-04	1.454900e-04
