# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$, $0.4 < |y^{Z}| < 0.8$
XMin=0.1
LogX=1
XLabel=$p_{T}^{Z}$ [GeV]
YLabel=$1/\sigma d\sigma/dp_{T}^{Z}$ [1/GeV]
DrawOnly=/CMS_2019_I1753680/d33-x01-y02 //u/user/choij/tmp_0x7f688a88b1c0/incl.yoda.gz/CMS_2019_I1753680/d33-x01-y02 //u/user/choij/tmp_0x7f688a88b1c0/ZpTStack.yoda.gz/CMS_2019_I1753680/d33-x01-y02
LegendOnly=/CMS_2019_I1753680/d33-x01-y02 //u/user/choij/tmp_0x7f688a88b1c0/incl.yoda.gz/CMS_2019_I1753680/d33-x01-y02 //u/user/choij/tmp_0x7f688a88b1c0/ZpTStack.yoda.gz/CMS_2019_I1753680/d33-x01-y02
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d33-x01-y02
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d33-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d33-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.926300e-02	5.337900e-04	5.337900e-04
1.000000e+00	2.000000e+00	4.847300e-02	1.209600e-03	1.209600e-03
2.000000e+00	3.000000e+00	6.770500e-02	1.504200e-03	1.504200e-03
3.000000e+00	4.000000e+00	7.606600e-02	1.477600e-03	1.477600e-03
4.000000e+00	5.000000e+00	7.809900e-02	1.376400e-03	1.376400e-03
5.000000e+00	6.000000e+00	7.535100e-02	1.240600e-03	1.240600e-03
6.000000e+00	7.000000e+00	7.066900e-02	1.088600e-03	1.088600e-03
7.000000e+00	8.000000e+00	6.624800e-02	9.702400e-04	9.702400e-04
8.000000e+00	9.000000e+00	6.123900e-02	8.706200e-04	8.706200e-04
9.000000e+00	1.000000e+01	5.673800e-02	7.852500e-04	7.852500e-04
1.000000e+01	1.100000e+01	5.181800e-02	7.002300e-04	7.002300e-04
1.100000e+01	1.200000e+01	4.759600e-02	6.343800e-04	6.343800e-04
1.200000e+01	1.300000e+01	4.453400e-02	5.888400e-04	5.888400e-04
1.300000e+01	1.400000e+01	4.154900e-02	5.396600e-04	5.396600e-04
1.400000e+01	1.600000e+01	3.569500e-02	4.494800e-04	4.494800e-04
1.600000e+01	1.800000e+01	3.127700e-02	3.834200e-04	3.834200e-04
1.800000e+01	2.000000e+01	2.672300e-02	3.173200e-04	3.173200e-04
2.000000e+01	2.200000e+01	2.274000e-02	2.608000e-04	2.608000e-04
2.200000e+01	2.500000e+01	1.982300e-02	2.206600e-04	2.206600e-04
2.500000e+01	2.800000e+01	1.612700e-02	1.759700e-04	1.759700e-04
2.800000e+01	3.200000e+01	1.317600e-02	1.414500e-04	1.414500e-04
3.200000e+01	3.700000e+01	1.013900e-02	1.064400e-04	1.064400e-04
3.700000e+01	4.300000e+01	7.556400e-03	7.824300e-05	7.824300e-05
4.300000e+01	5.200000e+01	5.309500e-03	5.609500e-05	5.609500e-05
5.200000e+01	6.500000e+01	3.203200e-03	3.577200e-05	3.577200e-05
6.500000e+01	8.500000e+01	1.669300e-03	1.978300e-05	1.978300e-05
