# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$, $1.6 < |y^{Z}| < 2.4$
XMin=0.1
LogX=1
XLabel=$p_{T}^{Z}$ [GeV]
YLabel=$d\sigma/dp_{T}^{Z}$ [pb/GeV]
DrawOnly=/CMS_2019_I1753680/d29-x01-y05 //u/user/choij/tmp_0x7f4357d991c0/incl.yoda.gz/CMS_2019_I1753680/d29-x01-y05 //u/user/choij/tmp_0x7f4357d991c0/ZpT650toInf.yoda.gz/CMS_2019_I1753680/d29-x01-y05
LegendOnly=/CMS_2019_I1753680/d29-x01-y05 //u/user/choij/tmp_0x7f4357d991c0/incl.yoda.gz/CMS_2019_I1753680/d29-x01-y05 //u/user/choij/tmp_0x7f4357d991c0/ZpT650toInf.yoda.gz/CMS_2019_I1753680/d29-x01-y05
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d29-x01-y05
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d29-x01-y05
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d29-x01-y05
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.566100e+00	7.725500e-02	7.725500e-02
1.000000e+00	2.000000e+00	3.603100e+00	1.673300e-01	1.673300e-01
2.000000e+00	3.000000e+00	5.144200e+00	2.276900e-01	2.276900e-01
3.000000e+00	4.000000e+00	5.899100e+00	2.519200e-01	2.519200e-01
4.000000e+00	5.000000e+00	5.817800e+00	2.410500e-01	2.410500e-01
5.000000e+00	6.000000e+00	5.652100e+00	2.270600e-01	2.270600e-01
6.000000e+00	7.000000e+00	5.423300e+00	2.115000e-01	2.115000e-01
7.000000e+00	8.000000e+00	4.962200e+00	1.886000e-01	1.886000e-01
8.000000e+00	9.000000e+00	4.680200e+00	1.738700e-01	1.738700e-01
9.000000e+00	1.000000e+01	4.500000e+00	1.636500e-01	1.636500e-01
1.000000e+01	1.100000e+01	4.193100e+00	1.506800e-01	1.506800e-01
1.100000e+01	1.200000e+01	3.781500e+00	1.362500e-01	1.362500e-01
1.200000e+01	1.300000e+01	3.416900e+00	1.232400e-01	1.232400e-01
1.300000e+01	1.400000e+01	3.182600e+00	1.132300e-01	1.132300e-01
1.400000e+01	1.600000e+01	2.958000e+00	1.022200e-01	1.022200e-01
1.600000e+01	1.800000e+01	2.554700e+00	8.583500e-02	8.583500e-02
1.800000e+01	2.000000e+01	2.168300e+00	7.166100e-02	7.166100e-02
2.000000e+01	2.200000e+01	2.013600e+00	6.561600e-02	6.561600e-02
2.200000e+01	2.500000e+01	1.693800e+00	5.410300e-02	5.410300e-02
2.500000e+01	2.800000e+01	1.427300e+00	4.438300e-02	4.438300e-02
2.800000e+01	3.200000e+01	1.159200e+00	3.521500e-02	3.521500e-02
3.200000e+01	3.700000e+01	9.105500e-01	2.730100e-02	2.730100e-02
3.700000e+01	4.300000e+01	7.004700e-01	2.112400e-02	2.112400e-02
